ID;PUNTO DE MEDICION;ESTADO;FECHA;DIAF;MESF;ANOF;HORA;HORARIO;CAUDAL ACUMULADO ANTERIOR;CAUDAL ACUMULADO;LECTURA MES ANTERIOR;LECTURA REGISTRO;INSTRUMENTO
HM22;Medidor para venta de agua Malinches;Operacion Correcta;1/6/22;1;6;2022;9:54:00 a. m.;AM;930,67;960,67;;  ; MA 
HM14;"Pozo Malinches  II  ( 6"" )";Macromedidor en mal estado;1/6/22;1;6;2022;10:06:00 a. m.;AM;2.997.530,00;;;  ; M2 
HM06;"Pozo San Vicente        ( 10"" )";Operacion Correcta;1/6/22;1;6;2022;7:50:00 a. m.;AM;7.258.852,00;7.384.403,00;52,18;52,7; MA 
HM18;"Pozo Claretiano         ( 10"" )";Operacion Correcta;1/6/22;1;6;2022;10:20:00 a. m.;AM;5.155.273,00;5.277.803,00;48,3;48,5; MA 
HM19;"Pozo Boruca (8"")";Operacion Correcta;1/6/22;1;6;2022;10:26:00 a. m.;AM;4.713.216,60;36.755,04;24,1;23,47; MA 
BM17;"Pozo Malinches Real  ( 8"" )";Operacion Correcta;1/6/22;1;6;2022;10:34:00 a. m.;AM;1.110.415,00;1.170.505,50;29,41;29,23; MA 
SRM28;"Pozo Los Altos I  ( 4"" )";Operacion Correcta;1/6/22;1;6;2022;10:41:00 a. m.;AM;278.952,00;302.493,00;11,04;  ; MA 
SRM37;Pozo Los Altos II ;Operacion Correcta;1/6/22;1;6;2022;10:45:00 a. m.;AM;1.699.644,70;1.753.953,60;29,57;29,11; MA 
SRM32;"Pozo Matasanos      ( 4"" )";Operacion Correcta;1/6/22;1;6;2022;10:52:00 a. m.;AM;434.406,00;443.321,00;8,35;  ; MA 
SRM26;Pozo Joya 1;Operacion Correcta;1/6/22;1;6;2022;11:25:00 a. m.;AM;486.464,89;503.616,47;  ;  ; MA 
SRM33;Pozo Joya 2;Operacion Correcta;1/6/22;1;6;2022;11:26:00 a. m.;AM;3.251.345,20;3.311.807,10;24,27;  ; MA 
HM13;"Pozo Joya 3 (8"")";Operacion Correcta;1/6/22;1;6;2022;7:30:00 a. m.;AM;2.249.439,00;2.333.977,00;35,33;35,1; MA 
SRM30;"Pozo Santiago ( 8"" )";Operacion Correcta;1/6/22;1;6;2022;11:16:00 a. m.;AM;1.446.091,00;1.517.858,00;31;29,8; MA 
SRM25;"Pozo Burial       ( 6"" )";Operacion Correcta;1/6/22;1;6;2022;11:05:00 a. m.;AM;1.473.354,00;1.527.325,00;30,55;  ; MA 
SRM12;"Pozo Highland Ranch (3"")";Operacion Correcta;1/6/22;1;6;2022;11:24:00 a. m.;AM;591.305,00;597.744,00;10,93;  ; MA 
SIM04;Pozo Santa Cruz I        ;Operacion Correcta;1/6/22;1;6;2022;8:29:00 a. m.;AM;1.614.486,74;1.624.457,40;  ;  ; MA 
SIM02;"Pozo Santa Cruz II (8"")";Operacion Correcta;1/6/22;1;6;2022;8:27:00 a. m.;AM;1.112.167,00;1.153.937,00;41,8;  ; MA 
SIM12;"Mata Maiz Llegando al Tanque 4""";Operacion Correcta;1/6/22;1;6;2022;8:54:00 a. m.;AM;550.117,00;580.836,00;9,27;9,1; MA 
SIM13;"Mata Caña llegando al Tanque 4""";Operacion Correcta;1/6/22;1;6;2022;8:54:00 a. m.;AM;846.811,00;867.496,00;6,92;6,8; MA 
SIM14;"Limpieza Tanque Victoria 8""";Datos Irregulares;1/6/22;1;6;2022;8:52:00 a. m.;AM;19.829,00;19.829,00;  ;; MA 
SIM01;"Tanque Succion  tanque Victoria 6""";Operacion Correcta;1/6/22;1;6;2022;8:49:00 a. m.;AM;1.294.948,00;1.344.247,00;15;15; MA 
SIM09;"Rebombeo Chizos t. victoria 6""";Operacion Correcta;1/6/22;1;6;2022;8:50:00 a. m.;AM;822.358,29;823.384,52;  ;  ; MA 
SIM10;"Rebombeo Victoria  hacia el norte 4""";Operacion Correcta;1/6/22;1;6;2022;8:50:00 a. m.;AM;17.733,17;17.944,57;  ;  ; MA 
PEND;"Victoria Saliendo 6""";Operacion Correcta;1/6/22;1;6;2022;8:48:00 a. m.;AM;1.443.231,00;1.483.910,00;22,05;  ; MA 
SIM16;"Rebombeo Sn Josecito 1  T Sta Cecilia (4"")";Operacion Correcta;1/6/22;1;6;2022;9:32:00 a. m.;AM;251.807,00;256.427,00;  ;; MA 
SIM05;"Desarenador Sta Cecilia  T Sta Cecilia Oeste (4"")";Operacion Correcta;1/6/22;1;6;2022;9:34:00 a. m.;AM;441.081,80;453.844,13;7,49;8,49; MA 
SIM08;"Desarenador Sta Cecilia  T Sta Cecilia Este (4"")";Operacion Correcta;1/6/22;1;6;2022;9:35:00 a. m.;AM;431.940,71;443.793,11;7,11;14,09; MA 
SIM06;"Fuente Yurro Hondo T Chilillal (4"")";Operacion Correcta;1/6/22;1;6;2022;9:45:00 a. m.;AM;165.155,00;172.434,00;0,32;3,71; MA 
SIM07;"Fuente Tranqueras T Chilillal (4"")";Operacion Correcta;1/6/22;1;6;2022;9:43:00 a. m.;AM;3.823,00;13.883,00;8,57;3,51; MA 
SRM04;Entrada Predio  Breña Mora (Estación Esquina);Estación Fuera de Operación Definitiva;1/6/22;1;6;2022;;AM;70.139,00;;  ;; MA 
SRM51;Breña Mora Entrada Planta;Operacion Correcta;1/6/22;1;6;2022;10:03:00 a. m.;AM;1.264.006,30;1.306.458,06;16,8;16; MA 
SRM50;Breña Mora Salida Planta Tratamiento;Operacion Correcta;1/6/22;1;6;2022;10:02:00 a. m.;AM;1.107.451,70;1.144.498,30;  ;; MA 
